Ob,city,manner_of_death,armed,age,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera,NumberOfSubjects,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,Numbershots,Numberofofficers,OfficerRace,OfficerGender
35,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,W,M,U,3,6,H;H;W;W;W;W,M;F;M;M;M;M
36,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,3,H;W;W,M;M;M
37,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,U,U,U,3,4,W;W;H;H,M;M;M;M
38,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,1,H,M
39,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,N,B,M,U,3,2,W;W,M;F
40,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,1,W,M
41,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,2,W;W,M;M
42,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
43,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
44,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
45,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;H,M;M
46,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
47,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
48,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
49,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
50,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
51,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
52,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,2,W;H,M;M
53,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
54,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
55,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,1,H,M
56,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,1,H,M
57,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,3,W;W;H,M;M;M
58,Albuquerque,shot,gun,23,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
59,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,W,M,U,3,2,W;H,M;M
60,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,N,L,U,U,3,1,W,M
61,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,N,W,M,U,3,1,W,M
62,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,N,W,M,U,3,2,H;U,M;M
63,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,W,M,U,3,6,H;H;W;W;W;W,M;F;M;M;M;M
64,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,L,M,U,3,1,W,M
65,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,L,M,U,3,1,W,M
66,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,U,M,U,3,1,H,M
67,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,L,M,U,3,1,W,M
68,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,N,W,M,U,3,1,W,F
69,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,N,W,M,U,3,3,W;W;H,M;M;M
70,Albuquerque,shot,gun,24,F,W,NM,TRUE,attack,Car,FALSE,1,Y,U,M,U,3,1,W,M
71,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
72,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
73,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
74,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;H,M;M
75,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
76,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
77,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
78,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,U,L,M,U,3,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M
79,Albuquerque,shot,gun,50,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
80,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
81,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,N,L,U,U,3,1,W,M
82,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,N,L,M,U,3,1,H,M
83,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,W,M,U,3,1,W,M
84,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,W,M,U,3,2,W;H,M;M
85,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,1,W,M
86,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
87,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
88,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,W,M,U,3,6,H;H;W;W;W;W,M;F;M;M;M;M
89,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,U,U,U,3,4,W;W;H;H,M;M;M;M
90,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
91,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,1,H,M
92,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
93,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,W,M,U,3,3,H;W;W,M;M;M
94,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,Y,U,U,U,3,1,W,M
95,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,N,W,M,U,3,3,W;W;H,M;M;M
96,Albuquerque,shot,NA,31,M,H,NM,FALSE,other,Car,FALSE,1,N,U,M,U,3,1,W,M
97,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
98,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
99,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
100,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
101,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
102,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
103,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,3,H;W;W,M;M;M
104,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,B,M,U,3,1,H,M
105,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,W,F,U,3,1,W,M
106,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
107,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,U,M,U,3,3,W;H;W,M;M;M
108,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,U,M
109,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,L,M,U,3,1,H,M
110,Albuquerque,shot,pole and knife,24,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
111,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,L,M,U,3,1,H,M
112,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,W,M,U,3,1,W,M
113,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,N,U,M,U,3,1,W,M
114,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,N,L,U,U,3,1,W,M
115,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,U,M,U,3,1,W,M
116,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,L,M,U,3,1,W,M
117,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,L,M,U,3,1,W,M
118,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,Y,L,M,U,3,1,U,M
119,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,U,L,M,U,3,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M
120,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,N,L,M,U,3,1,W,M
121,Albuquerque,shot,gun,21,M,H,NM,TRUE,attack,Car,TRUE,1,N,W,M,U,3,3,W;W;H,M;M;M
122,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
123,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
124,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
125,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,W,M,U,3,2,W;H,M;M
126,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
127,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
128,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;W,F;M
129,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
130,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
131,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,U,U,3,1,W,M
132,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,B,M,U,3,1,H,M
133,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
134,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,B,M,U,3,2,W;W,M;F
135,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
136,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,L,M,U,3,1,W,M
137,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
138,Albuquerque,shot,gun,18,M,H,NM,FALSE,other,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
139,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
140,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,1,H,M
141,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
142,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
143,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
144,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;H,M;M
145,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
146,Albuquerque,shot,toy weapon,57,M,W,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,U,U,3,1,W,M
147,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
148,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,H,M
149,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
150,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
151,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
152,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;H,M;M
153,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;W,F;M
154,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
155,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
156,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
157,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,3,H;W;W,M;M;M
158,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,1,W,M
159,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,U,3,1,H,M
160,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,1,W,M
161,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
162,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,U,M
163,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,3,H;W;W,M;M;M
164,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,U,L,M,U,3,1,W,M
165,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,1,W,M
166,Albuquerque,shot,gun,31,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
167,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,U,M,U,3,1,W,M
168,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,W,M,U,3,2,W;W,M;M
169,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,L,U,U,3,1,W,M
170,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,L,M,U,3,1,H,M
171,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,U,M,U,3,1,W,M
172,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,W,M,U,3,1,W,M
173,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,U,M,U,3,1,W,M
174,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,W,M,U,3,1,W,M
175,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,U,U,U,3,2,W;W,M;M
176,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,L,M,U,3,2,W;H,M;M
177,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,W,M,U,3,2,H;U,M;M
178,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,L,M,U,3,3,H;W;W,M;M;M
179,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,L,M,U,3,2,W;W,M;M
180,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,L,M,U,3,1,W,M
181,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,W,M,U,3,1,H,M
182,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,N,W,M,U,3,1,H,M
183,Albuquerque,shot,gun,19,M,H,NM,FALSE,undetermined,Foot,TRUE,1,Y,U,M,U,3,1,W,M
184,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
185,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,1,H,M
186,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
187,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
188,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
189,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
190,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,1,W,M
191,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,B,M,U,3,2,W;W,M;F
192,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
193,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
194,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,3,H;W;W,M;M;M
195,Albuquerque,shot,gun,NA,M,H,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,1,W,M
196,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
197,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,U,M,U,3,3,U;H;W,M;M;M
198,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;W,F;M
199,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,L,M,U,3,3,H;W;W,M;M;M
200,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,B,M,U,3,1,H,M
201,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,W,F,U,3,1,W,M
202,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
203,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,W,M,U,3,2,W;H,M;M
204,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,U,M,U,3,3,W;H;W,M;M;M
205,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,U,U,U,3,1,W,M
206,Albuquerque,shot,knife,28,F,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
207,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,N,L,M,U,3,1,H,M
208,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,Y,L,M,U,3,2,W;W,F;M
209,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,N,W,M,U,3,1,H,M
210,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,Y,L,M,U,3,1,W,M
211,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,N,W,M,U,3,1,H,M
212,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,N,U,U,U,3,1,W,M
213,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,U,L,M,U,3,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M
214,Albuquerque,shot,gun,43,M,W,NM,FALSE,attack,Not fleeing,TRUE,1,U,L,M,U,3,1,W,M
